Ime,Kategorija,Težavnost,Čas (min),Hranilna vrednost (kcal/100g),Koraki,Sestavine,Opis,Dolžina opisa (besede),Dolžina opisa (črke) 
Dvobarvni puding,Slovenska,2,30,294,5,14,"Puding se na prvi pogled zdi preveč preprosta in vsakdanja sladica, da bi jo postregli ob zaključku slavnostnega kosila ali večerje. Strinjamo se, da tisti iz vrečke morda res ni pretirano razkošen, za domač puding pa se boste morali že malce potruditi. In ko ne veste, ali bi raje pripravili vanilijevega ali čokoladnega, je najbolje, da pripravite kar oba in ju postrežete v steklenem kozarčku ali skodelici. Za piko na i sladico pred postrežbo okrasite s stepeno smetano, naribano čokolado ali mrvicami, in prepričani smo, da bo prikupna dvobarvna sladica deležna številnih pohval.",93,492
Piščančja lazanja,Italijanska,2,150,171,7,20,"Saj veste, da je to jed, ki sodi v kategorijo 'obliznili si boste vse prste' jedi. Z lazanjo enostavno ne morete zgrešiti, nad njo pa so večinoma navdušeni tudi otroci.",30,139
Tunine polpete s krompirjem in koruzo,Piknik in žar,1,52,138,6,9,"Okusne in nasitne, zunaj hrustljave, znotraj pa mehke in rahle - vse to in še več so tunine polpete s krompirjem in koruzo, ki jih lahko naredimo za kosilo, piknik ali zabavo. Zraven postrežemo veliko skledo solate ter različne (p)omake, v katere jih bomo z veseljem pomakali.",47,230
Pečeno jajce s sirom in slanino v kruhovi skledici,Na hitro,1,35,263,3,7,"Si za zajtrk radi privoščite jajca s slanino, vendar ste se že malo naveličali, da jih vedno pripravite na isti način? Če je vaš odgovor pritrdilen, jih lahko enkrat za spremembo pripravite v kruhovi skledici in spečete v pečici. Zagotavljamo vam, da vas končni izdelek ne bo razočaral.",48,239
Mlečne kruhove bombice,Testenine in žita,2,200,373,4,9,"Rahle in mehke slane bombice so priljubljeno pekovsko pecivo, pripravljeno iz mlečnega kvašenega testa. Odlične so kot dodatek enolončnicam, lahko pa si jih privoščite tudi za zajtrk - z maslom in marmelado, seveda.",33,183
Beljakove vrtnice,Zabava,2,120,248,5,5,"S sladkimi beljakovimi vrtnicami lahko okrasite slavnostno mizo ali jih ponudite kot prigrizek na poročnem slavju. Pripravite pa jih lahko tudi, ko vam od praznične peke ostanejo beljaki. Ti piškoti namreč niso samo čudovitega videza, ampak tudi odličnega okusa. Nadrobljeni na majhne koščke so izvrsten dodatek sladoledu, strjenki in čokoladni peni.",51,300
Tortica brez jajc s tekočo sredico,Valentinovo,1,30,364,4,10,Čudovita tortica primerna za zabavo ali romantične trenutke v dvoje.,10,59
Limonino-makov kolač,Slovenska,1,75,341,6,15,"Sladko pecivo, ki ga prijetno osveži sladko-kisel limonin sirup. Prileže se tako s skodelico čaja kot tudi s skodelico močne kave, zato je odlična izbira, ko na popoldanski klepet povabite dobre prijateljice.",32,177
Pečene krompirjeve polovičke s sirom in jajcem,Vegetarijanstvo,1,70,138,6,10,"Preprosta domača jed, ki bo navdušila vse ljubitelje krompirja.",9,55
Skutna pita z jabolki brez testa,Jesen,1,75,155,6,14,"Preprosta domača sladica, ki je hkrati sočna, nebeško dobra in hitro pripravljena.",12,71
Pijani riž z zelenjavo in piščancem,Kuhinje,1,55,184,5,18,"Če ste ljubitelj jedi intenzivnih barv in močnih, drugačnih, okusov, je ta recept ravno pravšnji za vas. Žafran poskrbi za živahno barvo, pivo, kumin in cimet pa za zanimiv okus in opojen vonj.",33,161
Humus z začinjeno jagnjetino,Kuhinje,1,42,235,4,15,"Prepustite se čarom orientalske kuhinje in uživajte v izjemni kombinaciji nežnega čičerikinega namaza in opojno dišeče jagnjetine. Jed si privoščite sami ali v dobri družbi ter pustite, da vas omamne vonjave odpeljejo v daljne kraje.",35,199
Sladka jajca na oko,Sladice,1,50,264,5,9,"Ker boste z njimi navdušili in razveselili otroke, je najbolje, da jih pripravite kar za otroško zabavo oziroma praznovanje rojstnega dne. Naredite pa jih lahko tudi, če nimate otrok - piškoti so namreč zelo okusni, med pripravo pa se boste tudi neizmerno zabavali.",43,223
Sirovi žepki s porom in pečeno cvetačo,Vegetarijanstvo,2,75,276,5,14,"Velike žepke z zelenjavnim nadevom pripravite za kosilo ali večerjo, majhne za zabavo. K velikim si privoščite veliko skledo solate, k majhnim pa kozarček dobrega vina.",26,143
Kruhov narastek s špinačo in feto,Vegetarijanstvo,1,80,194,4,8,"Kruhov narastek je odlična ideja za poceni in okusen obrok, ki ga pripravimo iz sestavin, ki jih imamo navadno vedno v shrambi oziroma hladilniku. In če tej priljubljeni domači jedi dodamo še malo špinače in nadrobljenega feta sira, dobimo nekaj še bolj okusnega in božansko dobrega ...",47,240
Čičerikin curry s špinačo,Zdravo in vegi,1,30,127,5,8,Mmm ... nežna špinača in okusna čičerika v kremasti kokosovi omaki. Za pripravo nadvse preprostega in okusnega vegetarijanskega obroka boste potrebovali zgolj 30 minut!,24,145
Cvetačna pica margerita,Zdravo in vegi,1,45,105,6,9,"V razpravljanje o tem, ali je to prava pica, ali ne, se ne bomo spuščali. To prepuščamo vam. Dejstvo je samo to, da je ta pica odličen primerek jedi, ki je poleg tega, da je zdrava, tudi zelo okusna.",39,161
Mlečni riž s karameliziranimi jabolki,Zima,1,40,357,5,11,"Se vam mlečni riž zdi preveč preprosta sladica, da bi z njo zaključili slavnostno kosilo ali večerjo? Kaj pa potem porečete na mlečni riž s karameliziranimi jabolki? Sliši se zelo okusno, zanimivo in slavnostno, kajne? Poskusite in se prepričajte na lastno pest, da je to sladica, ki vam bo zlezla pod kožo.",52,256
Piščanec v pomarančni omaki po azijsko,Azijska,1,23,197,4,13,"V manj kot pol ure pripravljena jed bo navdušila vse ljubitelje azijske hrane. Ljubiteljem pekočega priporočamo, da v omako dodajo malo sesekljanega svežega čilija ali žličko pekoče omake.",28,161
Preprost bananin kolač (kruh),Piknik in žar,1,70,203,4,11,"Bananin kolač oziroma kruh, kot mu Američani radi rečejo, morda ni najboljša izbira za zdrav, je pa odlična izbira za topel, dišeč in sladek začetek dneva. Hkrati pa je tudi izvrsten način, da porabite prezrele banane.",36,183
Lahmacun,Zabava,1,62,220,5,14,"Lahmacun oziroma turško pico boste vzljubili takoj, ko jo boste poskusili. Še zlasti če ste ljubitelj pic s tankim testom. Testo za lahmacun je namreč zelo tanko razvaljano, nato pa premazano s pikantnim nadevom, pripravljenim iz mlete jagnjetine, paradižnika, peteršilja, čilija in začimb.",43,248
Razstrupljevalna solata,Zdravo in vegi,1,30,126,3,12,"Naredite nekaj dobrega za svoje telo in si po praznikih namesto težke in mastne hrane raje privoščite lahko solato. Ta bo olajšala prebavo in jo tudi nekoliko pospešila, vas pa napolnila z energijo, vitamini in minerali.",36,185
Toskanska ohrovtova juha s klobaso,Italijanska,1,65,133,6,14,"Juha mora biti tako gosta, da lahko v njej skoraj pokonci stoji žlica. To je preprosta in krepka kmečka jed na žlico, ki se odlično prileže v zimskem času in s katero nahranimo veliko lačnih ust.",36,160
Čokoladni chia puding,Zdravo in vegi,1,12,508,3,9,"Čokoladni chia puding je ne samo zelo okusen in zdrav posladek, temveč tudi prava energijska bomba.Chia semena izboljšujejo prebavo, nam dajejo energijo in nas oskrbijo z omega 3 maščobnimi kislinami. Kakav viša raven energije in izboljšuje razpoloženje, goji jagode, s katerimi puding okrasimo, pa so odličen vir številnih antioksidantov.",49,291
Pečene banane s pomarančno omako,Zabava,1,15,225,4,5,"Pečene banane so odlična izbira za tiste trenutke, ko bi radi 'na hitro' pripravili nekaj sladkega. K bananam se izvrstno prileže kepica hladnega vanilijevega sladoleda, ki ga v nekoliko bolj zdravi in lahki različici zamenja kupček grškega jogurta.",38,212
Dekadenten čokoladni venec z jogurtom,Božič in novo leto,1,75,367,5,19,"Za pripravo zelo nezahteven kolač, ki navduši s sočnostjo, opojnim vonjem in bogatim čokoladnim okusom.",15,89
"Avokadov namaz s čilijem, feto in koriandrom",Zabava,1,11,184,3,8,"Iz avokada lahko v hipu pripravimo izvrstne namaze in hladne omake, ki so odlična popestritev številnih zabav. Potrebujemo zgolj zrel avokado in nekaj dodatkov oziroma sestavin, s katerimi določamo končni okus namaza: čili za pikantnost, feta sir za slanost, koriander za pridih eksotičnosti in limonin sok za svežino. Namaz postrežemo z opečenimi rezinami kruha ali toasta, brez težav pa lahko zraven ponudimo tudi krekerje ali koruzni čips.",67,376
Krompirjev čips z rožmarinom,Zabava,1,35,72,4,8,"Krompirjev čips si navadno privoščimo ob gledanju tekme ali filma na televiziji, kot prigrizek na slovesni zabavi pa ga običajno ne postrežemo. A kljub temu ga lahko zgolj z nekaj dodatki spremenimo v opojno dišeč in izjemno okusen prigrizek, kot nalašč primeren, da ga ponudimo ob kozarčku aperitiva.",48,254
Fokača s čebulo in timijanom,Italijanska,1,90,294,4,7,"Na kose narezana topla ali hladna fokača (orig. focaccia) se odlično prileže k narezkom, izvrstno pa se ujame tudi s kozarcem dobrega vina ali vrčkom piva.",26,130
Ocvrti ravioli,Zabava,1,48,319,4,9,"Zunaj hrustljavi, v notranjosti pa mehki in slastni. Da, to so ocvrti ravioli, okusen in hitro pripravljen prigrizek, kateremu se izvrstno prileže hladna paradižnikova (p)omaka.",25,153
Snežni vetrci na palčki,Zabava,2,280,391,5,6,"Pripravimo jih, ko nam od božične peke ostanejo beljaki in se z njimi sladkamo na novoletni zabavi.",17,83
Jagodni božički,Božič in novo leto,1,30,150,4,5,"Iz svežih jagod in maskarponejeve kreme pripravljeni prikupni sadni božički bodo pričarali nasmeh na obrazu vaših gostov. Res je, da se boste morali malice potruditi, da v zimskem času najdete sveže jagode, nekaj časa pa vam bo vzela tudi izdelava božičkov. A ves trud se vam bo obrestoval, ko boste opazovali navdušene obraze vseh gostov, še zlasti tistih najmlajših.",59,310
Vasilopita (grški novoletni kolač),Sladice,1,70,350,4,10,"V Grčiji si za prvega januarja (na dan svetega Bazilija) za zajtrk privoščijo okrogel mandljev kolač, ki se imenuje ’vasilopita’ in v svoji notranjosti skriva kovanec. Velja prepričanje, da bo tisti, ki bo dobil kos s kovancem, celo prihodnje leto živel v zadovoljstvu in obilju.",45,235
Francoski opečenec s karamelno omako in bananami,Valentinovo,1,30,271,4,17,"Če imate težave z jutranjim vstajanjem, vas bo ta zajtrk zagotovo predramil. Iz kuhinje bo opojno dišalo po cimetu in karameli, ko boste slišali, kaj se pripravlja, pa boste v hipu sedeli za mizo. Sveže pečenemu francoskemu opečencu s karamelno omako, bananami in lešniki se pa že ne boste odpovedali, kajne?!",51,259
Mađarica (madžarska pita),Božič in novo leto,2,115,305,4,16,"Madžarka, mađarica oziroma madžarska pita je izvrstno domače pecivo, še zlasti priljubljeno za praznike, praznovanja in slovesnosti. Pecivo sestavljajo plasti testa in čudovite kakavove kreme.",25,168
Praznični buhteljni,Slovenska,1,150,362,4,8,"Priljubljeno domače pecivo iz kvašenega testa, nadevanega z marmelado ali kakšnim drugim nadevom, se prileže v vseh letnih časih. A morda je najboljši trenutek za uživanje v tej mehki in puhasti dobroti prav zimski čas, saj se izvrstno prileže s skodelico toplega napitka. Pričarajte si praznično vzdušje in v testo namesto navadnega mleka dodajte Alpsko mleko z okusnom vanilije!",59,322
Gratiniran koromač,Zima,1,70,149,2,8,"Zelo okusna zelenjavna priloga, pripravljena brez pretiranega napora, bo navdušila tudi neljubitelje zelenjave.",13,99
Špageti z limono in škampi,Italijanska,1,35,194,4,8,"Špageti z limono in škampi so za pripravo zelo preprosta jed izjemnega okusa. Z njo boste navdušili tudi zahtevne jedce, jed pa je zaradi dodatka škampov tudi dovolj slavnostna, da jo postrežete kot toplo predjed ali glavno jed na božični oziroma silvestrski večerji.",43,225
Zapečen krompirjev pire,Zelenjava,1,65,152,3,6,"Zgolj z dvema dodatkoma boste pire krompir spremenili v opojno dišečo dobroto s hrustljavo skorjico, ki jo lahko ponudite kot prilogo mesnim, zelenjavnim ali ribjim jedem.",26,146
Pečene empanade z mletim mesom,Zabava,2,75,190,4,14,"Empanade bodo hit vsake zabave, na kateri jih boste postregli. Lahko jih nadevate s sirom, zelenjavo ali mesom, za začetek pa poskusite kar naš predlog: kombinacijo začinjenega mletega mesa, trdo kuhanih jajc in oliv. Postrezite jih s pivom ali vinom in uživajte v nepozabni zabavi!",45,238
Ovseni piškoti z začimbami,Kotanyi,1,45,493,4,14,"Če imate radi začimbe, vam bodo ti piškoti zagotovo všeč. Če imate radi praznične začimbe, pa še toliko bolj. Vanje smo namreč dodali prav vse tradicionalne božične začimbe: cimet, vanilijo, muškatni orešček, piment, klinčke in ingver. Odlični so, če jih pohrustate kar tako, za še večji užitek pa si jih lahko privoščite s kozarcem toplega ali hladnega mleka.",58,303
Fondi z grojerjem in čedarjem,Zabava,1,25,408,3,7,"Sirov fondi je odlična švicarska specialiteta, v katero pomakamo kruhove kocke. Jed je primerna za zabave in dogodke, ko se za mizo ob kozarcu dobrega vina zberejo dobri prijatelji.",29,153
Limonin semifreddo s sadno omako,Italijanska,1,505,189,6,10,"Limonina zmrzlina je v Italiji poznana pod imenom 'semifreddo'. Čar te sladice je v tem, da je rahla in puhasta zmes zgolj na pol zamrznjena, zaradi česar se v ustih počasi topi. Sladica se prileže v vseh letnih časih, zaradi dodatka limoninega soka, ki jo prijetno osveži, pa je primerna tudi kot posladek, s katerim zaključimo praznično oziroma slavnostno pojedino.",60,308
Linški piškoti,Božič in novo leto,2,85,394,4,12,Rahli in okusni piškotki iz linškega testa z marmelado so odlična spremljava k skodelici toplega napitka.,16,90
Čokoladno-pomarančne rezine,Sladice,1,70,244,9,17,"Domače pecivo, ki bo šlo za med na vsaki zabavi, na kateri ga boste postregli!",15,64
Vroča čokolada s pomarančo in cimetom,Kotanyi,1,15,538,3,6,"Za nadvse okusno domačo vročo čokolado ne potrebujete kupljenega praška, ampak dobre sestavine. Priprava je hitra in preprosta, opojno dišeč napitek pa vam bo na ustih narisal nasmeh.",28,156
Božični čokoladni kolač z oreščki,Božič in novo leto,1,75,404,5,15,"Božični čokoladni kolač z oreščki je bogata in razkošna praznična sladica. Vsebuje kakav, čokolado, oreščke in mandljevo maslo - sestavine, ki prazničnim sladicam dodajo božanski okus in opojen vonj. Kolač lahko pred serviranjem prelijemo s čokoladnim oblivom ter okrasimo s čokoladnimi kroglicami in piškotnimi smrečicami.",45,279
Pečene račje prsi z brusnično omako,Božič in novo leto,2,40,107,5,14,"Naj bo božična pojedina, praznovanje rojstnega dne ali romantična večerja v dvoje - račje prsi so vedno odlična izbira. Jedcev ne navdušujejo samo z mehkim, okusnim in sočnim mesom, temveč tudi s hrustljavo zapečeno kožo, ki se kar stopi v ustih. Za slavnosten pridih poskrbijo praznične začimbe, s katerimi meso pred peko začinimo, in sladko-kisla brusnična omaka, s katero pečeno meso postrežemo. Jedi se prileže zelenjavni pire, ki ga lahko pripravimo iz krompirja, pastinaka, cvetače ali sladkega krompirja.",78,434
Krompirjeve polpete z mlado čebulico,Na hitro,1,30,205,4,8,"Za pripravo zelo nezahtevna jed, ki jo pripravimo kar iz ostanka pire krompirja. Polpetke si lahko privoščimo za malico, kosilo ali večerjo, so pa tudi izvrstna priloga mesnim in ribjim jedem.",31,162
Filet mignon z gorčično omako in gobicami,Zabava,1,40,145,5,13,"Spomnite se na ta recept, ko boste na kosilo ali večerjo povabili pomembne goste, na katere boste želeli narediti vtis s svojimi kuharskimi mojstrovinami. Kombinacija srednje pečenega govejega fileja, žametne gorčične omake in slastnih gobic je namreč izjemna in bo zagotovo navdušila vsakega, ki bo imel priložnost poskusiti to jed.",50,284
Limonine rezine z olivnim oljem in soljo,Zabava,2,80,415,5,15,"Ta sladica združuje vse štiri osnovne okuse: sladkor ji doda sladkobo, olivno olje grenkobo, sol slanost, limonin sok pa kislino. To vsekakor ni sladica za vsak dan, temveč izjemen posladek, rezerviran samo za posebne priložnosti.",35,196
Rikotine miške,Italijanska,1,40,206,7,11,"Sladici v Italiji pravijo rikotini poljubčki, pri nas pa ji lahko rečemo kar rikotine miške. Naj bodo poljubčki ali miške, dejstvo je, da vas bodo sladke ocvrte kroglice navdušile s preprosto pripravo, rahlim testom in božanskim okusom. Sladico postrezite, ko je še topla, skupaj s skodelico kave, čaja ali kakava, in zagotavljamo vam, da bo krožnik v hipu prazen.",59,306
Paleo čokoladni mousse,Zdravo in vegi,1,20,419,3,7,"Paleo oziroma paleolitska dieta zagovarja prehranjevanje, kot so ga poznali naši predniki daleč nazaj v dobi paleolitika. Če sledimo temu načinu prehranjevanja v današnjem času, moramo iz prehrane izločiti sladkor in umetna sladila, prečiščene maščobe, živila, ki vsebujejo gluten in vse umetne aditive. Predstavljamo vam recept za sladico, ki je poleg omenjenega pripravljena tudi brez jajc in mlečnih izdelkov.",59,354
